country,date,cases,deaths,new_cases,new_deaths,last_update
Burundi,2020-04-21,5,1,-116,-4,2020-07-01T21:43:55Z
Cambodia,2020-04-21,122,0,117,-1,2020-07-01T21:43:55Z
Cameroon,2020-04-21,1163,43,1041,43,2020-07-01T21:43:55Z
Canada,2020-04-21,39402,1910,38239,1867,2020-07-01T21:43:55Z
Chad,2020-04-21,33,0,-39369,-1910,2020-07-01T21:43:55Z
Chile,2020-04-21,10832,147,10799,147,2020-07-01T21:43:55Z
China,2020-04-21,83853,4636,73021,4489,2020-07-01T21:43:55Z
Colombia,2020-04-21,4149,196,-79704,-4440,2020-07-01T21:43:55Z
Comoros,2020-04-21,0,0,-4149,-196,2020-07-01T21:43:55Z
Croatia,2020-04-21,1908,48,1908,48,2020-07-01T21:43:55Z
Cuba,2020-04-21,1137,38,-771,-10,2020-07-01T21:43:55Z
Cyprus,2020-04-21,784,12,-353,-26,2020-07-01T21:43:55Z
Czechia,2020-04-21,7033,201,6249,189,2020-07-01T21:43:55Z
Denmark,2020-04-21,7891,370,858,169,2020-07-01T21:43:55Z
Djibouti,2020-04-21,945,2,-6946,-368,2020-07-01T21:43:55Z
Dominica,2020-04-21,16,0,-929,-2,2020-07-01T21:43:55Z
Ecuador,2020-04-21,10398,520,10382,520,2020-07-01T21:43:55Z
Egypt,2020-04-21,3490,264,-6908,-256,2020-07-01T21:43:55Z
Eritrea,2020-04-21,39,0,-3451,-264,2020-07-01T21:43:55Z
Estonia,2020-04-21,1552,43,1513,43,2020-07-01T21:43:55Z
Ethiopia,2020-04-21,114,3,-1438,-40,2020-07-01T21:43:55Z
Fiji,2020-04-21,18,0,-96,-3,2020-07-01T21:43:55Z
Finland,2020-04-21,4014,141,3996,141,2020-07-01T21:43:55Z
France,2020-04-21,158168,20798,154154,20657,2020-07-01T21:43:55Z
Gabon,2020-04-21,156,1,-158012,-20797,2020-07-01T21:43:55Z
Gambia,2020-04-21,10,1,-146,0,2020-07-01T21:43:55Z
Georgia,2020-04-21,408,4,398,3,2020-07-01T21:43:55Z
Germany,2020-04-21,148291,5033,147883,5029,2020-07-01T21:43:55Z
Ghana,2020-04-21,1042,9,-147249,-5024,2020-07-01T21:43:55Z
Greece,2020-04-21,2401,121,1359,112,2020-07-01T21:43:55Z
Grenada,2020-04-21,14,0,-2387,-121,2020-07-01T21:43:55Z
Guatemala,2020-04-21,294,7,280,7,2020-07-01T21:43:55Z
Guinea,2020-04-21,688,6,394,-1,2020-07-01T21:43:55Z
Guinea-Bissau,2020-04-21,50,0,-638,-6,2020-07-01T21:43:55Z
Guyana,2020-04-21,66,7,16,7,2020-07-01T21:43:55Z
Haiti,2020-04-21,57,3,-9,-4,2020-07-01T21:43:55Z
Honduras,2020-04-21,494,46,437,43,2020-07-01T21:43:55Z
Hungary,2020-04-21,2098,213,1604,167,2020-07-01T21:43:55Z
Iceland,2020-04-21,1778,10,-320,-203,2020-07-01T21:43:55Z
India,2020-04-21,20080,645,18302,635,2020-07-01T21:43:55Z
Indonesia,2020-04-21,7135,616,-12945,-29,2020-07-01T21:43:55Z
